Rank,Name,Net Worth (billions),Age,Source,Country of Citizenship,Net Worth
#1157,Tang Shing-bor,$2.1 B,84,real estate,Hong Kong,2.1
#1157,Georg von Opel,$2.1 B,52,"real estate, investments",Switzerland,2.1
#1157,David Walentas,$2.1 B,79,real estate,United States,2.1
#1157,Ronald Wanek,$2.1 B,77,furniture,United States,2.1
#1157,Wang Changtian,$2.1 B,53,"TV, movie production",China,2.1
#1157,Wang Wenjing,$2.1 B,53,business software,China,2.1
#1157,Ye Cheng,$2.1 B,56,conglomerate,China,2.1
#1157,Zhu Gongshan,$2.1 B,60,solar panel materials,China,2.1
#1215,Antti Aarnio-Wihuri,$2 B,78,diversified,Finland,2
#1215,S. Daniel Abraham,$2 B,93,Slim-Fast,United States,2
#1215,Joao Alves de Queiroz Filho,$2 B,65,pharmaceuticals,Brazil,2
#1215,Mika Anttonen,$2 B,51,oil & gas,Finland,2
#1215,Thor Bjorgolfsson,$2 B,51,investments,Iceland,2
#1215,Andrei Bokarev,$2 B,51,"metals, mining",Russia,2
#1215,Bernhard Braun-Luedicke,$2 B,41,medical technology,Germany,2
#1215,Eva Maria Braun-Luedicke,$2 B,31,medical technology,Germany,2
#1215,Friederike Braun-Luedicke,$2 B,34,medical technology,Germany,2
#1215,Ron Burkle,$2 B,65,"supermarkets, investments",United States,2
#1215,Vivek Chand Burman,$2 B,81,consumer goods,India,2
#1215,Chen Yung-Tai,$2 B,82,real estate,Taiwan,2
#1215,James Clark,$2 B,74,"Netscape, investments",United States,2
#1215,Christopher Cline,$2 B,59,coal,United States,2
#1215,Alexandra Daitch,$2 B,55,Cargill,United States,2
#1215,Dong Wei,$2 B,47,pharmaceuticals,China,2
#1215,Fritz Draexlmaier,$2 B,-,auto parts,Germany,2
#1215,Glenn Dubin,$2 B,61,hedge funds,United States,2
#1215,Robert Duggan,$2 B,74,pharmaceuticals,United States,2
#1215,Jayme Garfinkel,$2 B,72,insurance,Brazil,2
#1215,Sam Goi,$2 B,69,frozen foods,Singapore,2
#1215,Thomas Hagen,$2 B,82,insurance,United States,2
#1215,Carlos Hank Rhon,$2 B,70,banking,Mexico,2
#1215,Christoph Henkel,$2 B,60,consumer goods,Germany,2
#1215,Hu Kaijun,$2 B,56,pharmaceuticals,China,2
#1215,Huang Yi,$2 B,56,auto distribution,Hong Kong,2
#1215,Ramesh Juneja,$2 B,62,pharmaceuticals,India,2
#1215,Bruce Karsh,$2 B,62,private equity,United States,2
#1215,Henry Laufer,$2 B,72,hedge funds,United States,2
#1215,Lee Boo-Jin,$2 B,47,"computer services, tourism",South Korea,2
#1215,Lee Jay-Hyun,$2 B,58,"food products, entertainment",South Korea,2
#1215,Wolfgang Leitner,$2 B,65,engineering,Austria,2
#1215,Li Ge,$2 B,51,biotech,China,2
#1215,Harald Link,$2 B,63,diversified,Thailand,2
#1215,Liu Ming Hui,$2 B,55,natural gas distribution,China,2
#1215,Jeffrey Lurie,$2 B,66,Philadelphia Eagles,United States,2
#1215,Ma Xingtian,$2 B,48,pharmaceuticals,China,2
#1215,Sarah MacMillan,$2 B,64,Cargill,United States,2
#1215,Howard Marks,$2 B,72,private equity,United States,2
#1215,Miao Shouliang,$2 B,63,real estate,China,2
#1215,Lachhman Das Mittal,$2 B,87,tractors,India,2
#1215,Mario Moretti Polegato,$2 B,65,shoes,Italy,2
#1215,Vadim Moshkovich,$2 B,51,"agriculture, land",Russia,2
#1215,Mofatraj Munot,$2 B,73,real estate,India,2
#1215,Jonathan Nelson,$2 B,62,private equity,United States,2
#1215,Florentino Perez,$2 B,71,construction,Spain,2
#1215,Chuchat & Daonapa Petaumpai,$2 B,65,motorcycle loans,Thailand,2
#1215,Peter Peterson,$2 B,92,investments,United States,2
#1215,Arvind Poddar,$2 B,60,tires,India,2
#1215,Murdaya Poo,$2 B,77,diversified,Indonesia,2
#1215,Ren Zhengfei,$2 B,74,telecom equipment,China,2
#1215,Antony Ressler,$2 B,56,finance,United States,2
#1215,Francisco Jose Riberas Mera,$2 B,54,"steel, autoparts",Spain,2
#1215,Rodney Sacks,$2 B,68,energy drinks,United States,2
#1215,Hilton Schlosberg,$2 B,65,energy drinks,United Kingdom,2
#1215,Brian Sheth,$2 B,42,investments,United States,2
#1215,Lucy Stitzer,$2 B,58,Cargill,United States,2
#1215,Su Suyu,$2 B,69,"utilities, real estate",China,2
#1215,Satoshi Suzuki,$2 B,64,cosmetics,Japan,2
#1215,Katherine Tanner,$2 B,62,Cargill,United States,2
#1215,Arvind Tiku,$2 B,48,"oil & gas, investments",India,2
#1215,Wang Liping,$2 B,52,hydraulic machinery,China,2
#1215,Wang Xicheng,$2 B,69,tires,China,2
#1215,Wei Shaojun,$2 B,55,real estate,China,2
#1215,Amy Wyss,$2 B,47,medical equipment,United States,2
#1215,Jon Yarbrough,$2 B,61,video games,United States,2
#1215,Vladimir Yevtushenkov,$2 B,69,"telecom, investments",Russia,2
#1215,Charles Zegar,$2 B,70,Bloomberg LP,United States,2
#1215,Zhu Baoguo,$2 B,56,pharmaceuticals,China,2
#1284,Saif Al Ghurair,$1.9 B,94,diversified,United Arab Emirates,1.9
#1284,Syed Mokhtar AlBukhary,$1.9 B,66,"engineering, energy, construction",Malaysia,1.9
#1284,Miriam Baumann-Blocher,$1.9 B,43,chemicals,Switzerland,1.9
#1284,Albert Berner,$1.9 B,82,fasteners,Germany,1.9
#1284,Thomas Bruch,$1.9 B,68,retail,Germany,1.9
#1284,Chang Yun Chung,$1.9 B,99,shipping,Singapore,1.9
#1284,Kiat Chiaravanont,$1.9 B,-,diversified,Thailand,1.9
#1284,Jean-Paul and Martine Clozel,$1.9 B,-,pharmaceuticals,Switzerland,1.9
#1284,Benjamin de Rothschild,$1.9 B,54,banking,Switzerland,1.9
#1284,James Dinan,$1.9 B,59,hedge funds,United States,1.9
#1284,Charles Edelstenne,$1.9 B,80,aviation,France,1.9
#1284,Bernd Freier,$1.9 B,61,fashion retail,Germany,1.9
#1284,Bill Gross,$1.9 B,74,investments,United States,1.9
#1284,Jeffrey Gundlach,$1.9 B,59,investments,United States,1.9
#1284,Suat Gunsel,$1.9 B,65,"real estate, education",Cyprus,1.9
#1284,Shmuel Harlap,$1.9 B,73,automotive,Israel,1.9
#1284,Roberto Hernandez Ramirez,$1.9 B,76,banking,Mexico,1.9
#1284,Johannes Kaercher,$1.9 B,67,"vacuums, cleaning products",Germany,1.9
#1284,Friedrich Knapp,$1.9 B,67,fashion retail,Germany,1.9
#1284,Lee Myung-Hee,$1.9 B,74,retail,South Korea,1.9
#1284,Lee Seo-Hyun,$1.9 B,44,"computer services, tourism",South Korea,1.9
#1284,Liang Jiankun,$1.9 B,56,cobalt mining,China,1.9
#1284,Liao Long-shing,$1.9 B,65,petrochemicals,Taiwan,1.9
#1284,Lin Shu-Hong,$1.9 B,89,petrochemicals,Taiwan,1.9
#1284,Yasseen Mansour,$1.9 B,56,diversified,Egypt,1.9
#1284,David Nahmad,$1.9 B,71,art collection,Monaco,1.9
#1284,Alexander Nesis,$1.9 B,55,"metals, banking, fertilizers",Russia,1.9
#1284,Nandan Nilekani,$1.9 B,63,software services,India,1.9
#1284,Ranjan Pai,$1.9 B,45,education,India,1.9
#1284,Park Hyeon-Joo,$1.9 B,59,mutual funds,South Korea,1.9
#1284,Jennifer Pritzker,$1.9 B,67,"hotels, investments",United States,1.9
#1284,Qiu Jianping,$1.9 B,56,hand tools,China,1.9
#1284,Megdet Rahimkulov,$1.9 B,72,investments,Russia,1.9
#1284,Vito Rodriguez Rodriguez,$1.9 B,79,processed milk,Peru,1.9
#1284,Stephen Rubin,$1.9 B,81,sports apparel,United Kingdom,1.9
#1284,Remo Ruffini,$1.9 B,56,winter jackets,Italy,1.9
#1284,Erik Selin,$1.9 B,51,real estate,Sweden,1.9
#1284,Peter Sondakh,$1.9 B,68,investments,Indonesia,1.9
#1284,Alan N. Trefler,$1.9 B,62,software,United States,1.9
#1284,Tseng Shin-yi,$1.9 B,90,petrochemicals,Taiwan,1.9
#1284,Masateru Uno,$1.9 B,71,drugstores,Japan,1.9
#1284,Wang Qingtao,$1.9 B,56,steel smelting,China,1.9
#1284,Evan Williams,$1.9 B,46,Twitter,United States,1.9
#1284,Gustav Magnar Witzoe,$1.9 B,25,fish farming,Norway,1.9
#1284,Horst Wortmann,$1.9 B,77,footwear,Germany,1.9
#1284,Xiao Yongming,$1.9 B,53,fertilizer,China,1.9
#1284,Xie Zhikun,$1.9 B,57,investments,China,1.9
#1284,Xue Xiangdong,$1.9 B,59,software,China,1.9
#1284,Yuan Yafei,$1.9 B,54,"retail, investments",China,1.9
#1284,Robin Zeng,$1.9 B,50,batteries,Hong Kong,1.9
#1284,Zhang Daocai,$1.9 B,68,valves,China,1.9
#1284,Zhang Xuansong,$1.9 B,46,supermarket,China,1.9
#1284,Zheng Yuewen,$1.9 B,56,investments,China,1.9
#1284,Zhou Xiaoguang,$1.9 B,56,real estate,China,1.9
#1284,Susanne Zimmermann von Siefart ,$1.9 B,61,"vacuums, home cleaning products",Germany,1.9
#1339,Aras Agalarov,$1.8 B,62,real estate,Russia,1.8
#1339,Maurice Alter,$1.8 B,93,real estate,Australia,1.8
#1339,An Kang,$1.8 B,69,pharmaceuticals,China,1.8
#1339,Alex Beard,$1.8 B,50,"mining, commodities",United Kingdom,1.8
#1339,Nicolas Berggruen,$1.8 B,56,investments,United States,1.8
#1339,Vladimir Bogdanov,$1.8 B,67,oil,Russia,1.8
#1339,Julio Bozano,$1.8 B,82,banking,Brazil,1.8
#1339,Anna Maria Braun,$1.8 B,39,medical technology,Germany,1.8
#1339,Johanna Braun,$1.8 B,38,medical technology,Germany,1.8
#1339,Karl Friedrich Braun,$1.8 B,35,medical technology,Germany,1.8
#1339,Anand Burman,$1.8 B,66,consumer goods,India,1.8
#1339,Edouard Carmignac,$1.8 B,70,asset management,France,1.8
#1339,Chen Jianhua,$1.8 B,47,chemicals,China,1.8
#1339,Cheung Yan,$1.8 B,61,paper manufacturing,China,1.8
#1339,Chung Mong-Joon,$1.8 B,66,"shipbuilding, industrial machines",South Korea,1.8
#1339,Jack Cowin,$1.8 B,75,fast food,Australia,1.8
#1339,Cui Genliang,$1.8 B,60,electric components,China,1.8
#1339,Kommer Damen,$1.8 B,74,shipbuilding,Netherlands,1.8
#1339,Diego Della Valle,$1.8 B,64,shoes,Italy,1.8
#1339,Dou Zhenggang,$1.8 B,65,"energy, chemicals",China,1.8
#1339,N. Murray Edwards,$1.8 B,58,oil & gas,Canada,1.8
#1339,Gabriel Escarrer,$1.8 B,83,hotels,Spain,1.8
#1339,Clement Fayat,$1.8 B,86,construction,France,1.8
#1339,James France,$1.8 B,73,"Nascar, racing",United States,1.8
#1339,Senapathy Gopalakrishnan,$1.8 B,63,software services,India,1.8
#1339,David Harding,$1.8 B,56,finance,United Kingdom,1.8
#1339,Stewart Horejsi,$1.8 B,80,Berkshire Hathaway,United States,1.8
#1339,Huang Qisen,$1.8 B,53,real estate,China,1.8
#1339,Hamilton James,$1.8 B,66,investments,United States,1.8
#1339,John Kapoor,$1.8 B,74,healthcare,United States,1.8
#1339,William Lauder,$1.8 B,58,Estee Lauder,United States,1.8
#1339,Li Zongsong,$1.8 B,51,pharmaceuticals,China,1.8
#1339,Willy Michel,$1.8 B,71,medical devices,Switzerland,1.8
#1339,Masahiro Noda,$1.8 B,79,software,Japan,1.8
#1339,Gregorio Perez Companc,$1.8 B,82,oil & gas,Argentina,1.8
#1339,Linda Pritzker,$1.8 B,64,"hotels, investments",United States,1.8
#1339,Qin Hui,$1.8 B,50,movie theaters,China,1.8
#1339,Matthias Reinhart,$1.8 B,58,finance,Switzerland,1.8
#1339,Brian Roberts,$1.8 B,58,Comcast,United States,1.8
#1339,Alberto Roemmers,$1.8 B,91,pharmaceuticals,Argentina,1.8
#1339,Gerald Schwartz,$1.8 B,76,finance,Canada,1.8
#1339,Thaksin Shinawatra,$1.8 B,68,investments,Thailand,1.8
#1339,William Stone,$1.8 B,63,software,United States,1.8
#1339,Petter Stordalen,$1.8 B,55,hotels,Norway,1.8
#1339,Julia Stoschek,$1.8 B,43,auto parts,Germany,1.8
#1339,Maximilian Stoschek,$1.8 B,-,auto parts,Germany,1.8
#1339,Sun Shoukuan,$1.8 B,68,metals. coal,China,1.8
#1339,Ba Duong Tran,$1.8 B,58,automotive,Vietnam,1.8
#1339,Hamdi Ulukaya,$1.8 B,45,greek yogurt,Turkey,1.8
#1339,Wong Luen Hei,$1.8 B,56,building materials,China,1.8
#1339,Wu Yulan,$1.8 B,48,pharmaceuticals,China,1.8
#1339,Xu Hang,$1.8 B,52,medical devices,China,1.8
#1339,Yang Erzhu,$1.8 B,67,real estate,China,1.8
#1339,Yao Kuizhang,$1.8 B,53,beverages,China,1.8
#1339,Sheng Jian Zhong,$1.8 B,60,real estate,Singapore,1.8
#1394,Marcel Adams,$1.7 B,97,real estate,Canada,1.7
#1394,"Herbert Allen, Jr.",$1.7 B,78,investment banking,United States,1.7
#1394,Michael Ashcroft,$1.7 B,72,security,United Kingdom,1.7
#1394,Roman Avdeev,$1.7 B,50,"banking, development",Russia,1.7
#1394,Emilio Azcarraga Jean,$1.7 B,50,TV broadcasting,Mexico,1.7
#1394,Sezai Bacaksiz,$1.7 B,68,diversified,Turkey,1.7
#1394,Lesley Bamberger,$1.7 B,53,real estate,Netherlands,1.7
#1394,Angela Bennett,$1.7 B,74,mining,Australia,1.7
#1394,Hubertus Benteler,$1.7 B,71,auto parts,Germany,1.7
#1394,Ludwig Theodor Braun,$1.7 B,28,medical technology,Germany,1.7
#1394,Nicola Bulgari,$1.7 B,77,luxury goods,Italy,1.7
#1394,Paolo Bulgari,$1.7 B,80,luxury goods,Italy,1.7
#1394,Chen Dejun,$1.7 B,48,package delivery,China,1.7
#1394,Tony Chen,$1.7 B,49,eletronics,Taiwan,1.7
#1394,Chen Xueli,$1.7 B,67,pharmaceuticals,China,1.7
#1394,Luigi Cremonini,$1.7 B,79,meat processing,Italy,1.7
#1394,Dominique Desseigne,$1.7 B,73,casinos,France,1.7
#1394,Sefik Yilmaz Dizdar,$1.7 B,80,fashion retail,Turkey,1.7
#1394,Domenico Dolce,$1.7 B,59,luxury goods,Italy,1.7
#1394,Pavel Durov,$1.7 B,33,messaging app,Russia,1.7
#1394,John Farber,$1.7 B,92,chemicals,United States,1.7
#1394,Robert Fisher,$1.7 B,64,Gap,United States,1.7
#1394,William Fisher,$1.7 B,61,Gap,United States,1.7
#1394,Stefano Gabbana,$1.7 B,55,luxury goods,Italy,1.7
#1394,Rolf Gerling,$1.7 B,63,insurance,Germany,1.7
#1394,Serge Godin,$1.7 B,68,information technology,Canada,1.7
#1394,Sergei Gordeev,$1.7 B,45,real estate,Russia,1.7
#1394,Mehmet Nazif Gunal,$1.7 B,70,"tourism, construction",Turkey,1.7
#1394,Yusuf Hamied,$1.7 B,81,pharmaceuticals,India,1.7
#1394,Gerry Harvey,$1.7 B,78,retail,Australia,1.7
#1394,Timothy Headington,$1.7 B,68,"oil & gas, investments",United States,1.7
#1394,Huang Chulong,$1.7 B,59,real estate,Canada,1.7
#1394,Huo Qinghua,$1.7 B,57,coal,China,1.7
#1394,Devendra Jain,$1.7 B,89,chemicals,India,1.7
#1394,Jiang Yintai,$1.7 B,67,auto parts,China,1.7
#1394,"Jim Justice, II.",$1.7 B,67,coal,United States,1.7
#1394,Kim Jun-Ki,$1.7 B,73,diversified,South Korea,1.7
#1394,William Koch,$1.7 B,78,"oil, investments",United States,1.7
#1394,Anthony Langley,$1.7 B,63,manufacturing,United Kingdom,1.7
#1394,Marc Lasry,$1.7 B,57,hedge funds,United States,1.7
#1394,Peter Leibinger,$1.7 B,51,machine tools,Germany,1.7
#1394,Regine Leibinger,$1.7 B,55,machine tools,Germany,1.7
#1394,Li San Yim,$1.7 B,68,construction equipment,China,1.7
#1394,David Lichtenstein,$1.7 B,56,real estate,United States,1.7
#1394,Lim Oon Kuin,$1.7 B,74,oil trading,Singapore,1.7
#1394,Liu Ming Chung,$1.7 B,55,paper manufacturing,Brazil,1.7
#1394,Ma Xiuhui,$1.7 B,47,LED lighting,China,1.7
#1394,Prayudh Mahagitsiri,$1.7 B,72,"coffee, shipping",Thailand,1.7
#1394,Anand Mahindra,$1.7 B,63,automobiles,India,1.7
#1394,Kishore Mariwala,$1.7 B,83,consumer goods,India,1.7
#1394,Craig McCaw,$1.7 B,68,telecom,United States,1.7
#1394,Miguel McKelvey,$1.7 B,43,WeWork,United States,1.7
#1394,Vincent McMahon,$1.7 B,72,wrestling,United States,1.7
#1394,David McMurtry,$1.7 B,78,manufacturing,United Kingdom,1.7
#1394,Gary Michelson,$1.7 B,69,medical patents,United States,1.7
#1394,Massimo Moratti,$1.7 B,73,oil refinery,Italy,1.7
#1394,Farhad Moshiri,$1.7 B,63,diversified,United Kingdom,1.7
#1394,Jerry Moyes,$1.7 B,74,Transportation,United States,1.7
#1394,Charles Munger,$1.7 B,94,Berkshire Hathaway,United States,1.7
#1394,Kerr Neilson,$1.7 B,68,investment,Australia,1.7
#1394,Ou Zongrong,$1.7 B,54,real estate,China,1.7
#1394,Nihat Ozdemir,$1.7 B,68,diversified,Turkey,1.7
#1394,Pan Weiming,$1.7 B,54,real estate,China,1.7
#1394,Park Yeon-Cha,$1.7 B,72,sneakers,South Korea,1.7
#1394,Nelson Peltz,$1.7 B,76,investments,United States,1.7
#1394,Roger Penske,$1.7 B,81,cars,United States,1.7
#1394,Qi Jinxing,$1.7 B,56,real estate,China,1.7
#1394,Qi Shi,$1.7 B,48,financial information,China,1.7
#1394,Theodore Rachmat,$1.7 B,74,diversified,Indonesia,1.7
#1394,Juan Maria Riberas Mera,$1.7 B,49,steel,Spain,1.7
#1394,Vijay Shekhar Sharma,$1.7 B,40,financial technology,India,1.7
#1394,Konstantin Strukov,$1.7 B,59,"gold, coal mining",Russia,1.7
#1394,Henry Swieca,$1.7 B,61,hedge funds,United States,1.7
#1394,Wichai Thongtang,$1.7 B,71,investments,Thailand,1.7
#1394,Torsten Toeller,$1.7 B,52,pet food,Germany,1.7
#1394,Roman Trotsenko,$1.7 B,47,"transport, engineering, real estate",Russia,1.7
#1394,Todd Wagner,$1.7 B,57,online media,United States,1.7
#1394,Wang Chaobin,$1.7 B,62,real estate,China,1.7
#1394,Wang Yanqing,$1.7 B,52,electrical equipment,China,1.7
#1394,John Whittaker,$1.7 B,76,real estate,United Kingdom,1.7
#1394,Wu Guangming,$1.7 B,56,medical equipment,China,1.7
#1394,Xu Qiming,$1.7 B,54,"food, art",China,1.7
#1394,Zhang Xiaojuan,$1.7 B,48,logistics,China,1.7
#1477,Melih Abdulhayoglu,$1.6 B,50,internet security,Turkey,1.6
#1477,Radhe Shyam Agarwal,$1.6 B,73,consumer goods,India,1.6
#1477,Mohamed Al Fayed,$1.6 B,89,"retail, investments",Egypt,1.6
#1477,Faisal Bin Qassim Al Thani,$1.6 B,70,"hotels, diversified",Qatar,1.6
#1477,William F. Austin,$1.6 B,76,hearing aids,United States,1.6
#1477,Louis Bacon,$1.6 B,61,hedge funds,United States,1.6
#1477,Achal Bakeri,$1.6 B,58,air coolers,India,1.6
#1477,Othman Benjelloun,$1.6 B,85,"banking, insurance",Morocco,1.6
#1477,William Berkley,$1.6 B,71,insurance,United States,1.6
#1477,Aneel Bhusri,$1.6 B,52,business software,United States,1.6
#1477,O. Francis Biondi,$1.6 B,53,hedge funds,United States,1.6
#1477,John Bloor,$1.6 B,75,"real estate, manufacturing",United Kingdom,1.6
#1477,David Booth,$1.6 B,72,mutual funds,United States,1.6
#1477,Cai Wensheng,$1.6 B,48,photo sharing app,China,1.6
#1477,Ahmet Calik,$1.6 B,60,"energy, banking, construction",Turkey,1.6
#1477,Michel Chalhoub,$1.6 B,86,retail,France,1.6
#1477,Chen Xiaoying,$1.6 B,41,package delivery,China,1.6
#1477,Cho Jung-Ho,$1.6 B,59,finance,South Korea,1.6
#1477,Turgay Ciner,$1.6 B,62,diversified,Turkey,1.6
#1477,Steve Conine,$1.6 B,45,online retail,United States,1.6
#1477,Jacques D'Amours,$1.6 B,61,retail,Canada,1.6
#1477,Robert Defares,$1.6 B,56,electronic trading,Netherlands,1.6
#1477,Alexander Dzhaparidze,$1.6 B,62,oil services,Russia,1.6
#1477,Stephen Feinberg,$1.6 B,58,private equity,United States,1.6
#1477,Paul Foster,$1.6 B,60,oil refining,United States,1.6
#1477,Mario Gabelli,$1.6 B,76,money management,United States,1.6
#1477,Marcos Galperin,$1.6 B,-,e-commerce,Argentina,1.6
#1477,Radhe Shyam Goenka,$1.6 B,72,consumer goods,India,1.6
#1477,Christopher Goldsbury,$1.6 B,75,salsa,United States,1.6
#1477,Stelios Haji-Ioannou,$1.6 B,51,EasyJet,Cyprus,1.6
#1477,Ilkka Herlin,$1.6 B,59,"elevators, escalators",Finland,1.6
#1477,Brian Higgins,$1.6 B,53,hedge funds,United States,1.6
#1477,Stephen Jarislowsky,$1.6 B,92,money management,Canada,1.6
#1477,Michael Jordan,$1.6 B,55,"Charlotte Hornets, endorsements",United States,1.6
#1477,Kenji Kasahara,$1.6 B,42,social network,Japan,1.6
#1477,Kim Taek-Jin,$1.6 B,51,online games,South Korea,1.6
#1477,Edward Lampert,$1.6 B,55,Sears,United States,1.6
#1477,Thomas Lau,$1.6 B,64,department stores,Hong Kong,1.6
#1477,Thai Lee,$1.6 B,59,IT provider,United States,1.6
#1477,Lei Jufang,$1.6 B,65,pharmaceuticals,China,1.6
#1477,Li Li,$1.6 B,54,pharmaceuticals,China,1.6
#1477,Li Liufa,$1.6 B,61,"steel, diversified",China,1.6
#1477,Liu Hanyuan,$1.6 B,54,agribusiness,China,1.6
#1477,Pier Luigi Loro Piana,$1.6 B,66,fashion,Italy,1.6
#1477,Billy Joe (Red) McCombs,$1.6 B,90,"real estate, oil, cars, sports",United States,1.6
#1477,Gian Marco Moratti,$1.6 B,81,oil refinery,Italy,1.6
#1477,Manuel Moroun,$1.6 B,91,transportation,United States,1.6
#1477,Robert Mouawad,$1.6 B,73,fine jewelry,Lebanon,1.6
#1477,Marius Nacht,$1.6 B,52,software,Israel,1.6
#1477,Ni Zugen,$1.6 B,61,appliances,China,1.6
#1477,Lirio Parisotto,$1.6 B,64,investments,Brazil,1.6
#1477,Karl-Johan Persson,$1.6 B,43,H&M,Sweden,1.6
#1477,Tom Persson,$1.6 B,33,H&M,Sweden,1.6
#1477,Dmitry Pumpyansky,$1.6 B,54,steel pipes,Russia,1.6
#1477,Ruan Shuilong,$1.6 B,82,chemicals,China,1.6
#1477,Jean Salata,$1.6 B,52,finance,Chile,1.6
#1477,Sheryl Sandberg,$1.6 B,48,Facebook,United States,1.6
#1477,Niraj Shah,$1.6 B,44,online retail,United States,1.6
#1477,Shin Dong-Guk,$1.6 B,68,Pharmaceuticals,South Korea,1.6
#1477,Ben Silbermann,$1.6 B,35,Pinterest,United States,1.6
#1477,Charlotte Soderstrom,$1.6 B,41,H&M,Sweden,1.6
#1477,Thomas Steyer,$1.6 B,60,hedge funds,United States,1.6
#1477,Su Weizhong,$1.6 B,49,"oil, fertilizers",China,1.6
#1477,David Teoh,$1.6 B,62,telecoms,Australia,1.6
#1477,Wang Jinshu,$1.6 B,61,chemicals,China,1.6
#1477,Wang Yaohai,$1.6 B,51,lighting,China,1.6
#1477,Charlotte Colket Weber,$1.6 B,75,Campbell Soup,United States,1.6
#1477,Wei Ing-Chou,$1.6 B,65,"food, beverages",Taiwan,1.6
#1477,Yin-Chun Wei,$1.6 B,61,"food, beverages",Taiwan,1.6
#1477,Wei Yin-Heng,$1.6 B,59,"food, beverages",Taiwan,1.6
#1477,Wei Ying-Chiao,$1.6 B,63,"food, beverages",Taiwan,1.6
#1477,Richard White,$1.6 B,63,software,Australia,1.6
#1477,Allan Wong,$1.6 B,68,electronics,Hong Kong,1.6
#1477,Wong Kwong Yu,$1.6 B,49,retail,China,1.6
#1477,Wu Jianshu,$1.6 B,54,auto parts,Hong Kong,1.6
#1477,Wu Xu,$1.6 B,54,real estate,St. Kitts and Nevis,1.6
#1477,Wu Xushun,$1.6 B,70,"internet, auto parts",China,1.6
#1477,Luis Enrique Yarur Rey,$1.6 B,67,banking,Chile,1.6
#1477,Albert Yeung,$1.6 B,75,"real estate, retail",Hong Kong,1.6
#1477,Yu Rong,$1.6 B,46,health clinics,China,1.6
#1477,Kostyantin Zhevago,$1.6 B,44,mining,Ukraine,1.6
#1477,Zhou Chengjian,$1.6 B,53,fashion retail,China,1.6
#1477,Zhou Yaoting,$1.6 B,75,"apparel, real estate",China,1.6
#1477,Zhuang Kuilong,$1.6 B,56,polyester,China,1.6
#1561,Jose Joao Abdalla Filho,$1.5 B,-,investments,Brazil,1.5
#1561,Khalifa Bin Butti Al Muhairi,$1.5 B,39,"hospitals, investments",United Arab Emirates,1.5
#1561,Folorunsho Alakija,$1.5 B,67,oil,Nigeria,1.5
#1561,Bill Alfond,$1.5 B,70,shoes,United States,1.5
#1561,Susan Alfond,$1.5 B,72,shoes,United States,1.5
#1561,Ted Alfond,$1.5 B,73,shoes,United States,1.5
#1561,Joy Alukkas,$1.5 B,61,jewelry,India,1.5
#1561,Andrey Andreev,$1.5 B,44,online dating,United Kingdom,1.5
#1561,Carol Jenkins Barnett,$1.5 B,61,Publix supermarkets,United States,1.5
#1561,Oleg Boyko,$1.5 B,53,diversified,Russia,1.5
#1561,Ana Maria Brescia Cafferata,$1.5 B,94,"mining, banking",Peru,1.5
#1561,Binod Chaudhary,$1.5 B,63,diversified,Nepal,1.5
#1561,Che Fengsheng,$1.5 B,55,pharmaceuticals,China,1.5
#1561,Chen Qingzhou,$1.5 B,52,communications equipment,China,1.5
#1561,Richard Desmond,$1.5 B,66,publishing,United Kingdom,1.5
#1561,Mohammed Dewji,$1.5 B,43,diversified,Tanzania,1.5
#1561,Carl Douglas,$1.5 B,57,investments,Sweden,1.5
#1561,Eric Douglas,$1.5 B,50,investments,Sweden,1.5
#1561,Bulent Eczacibasi,$1.5 B,68,"pharmaceuticals, diversified",Turkey,1.5
#1561,Faruk Eczacibasi,$1.5 B,64,"pharmaceuticals, diversified",Turkey,1.5
#1561,Martha Ford,$1.5 B,92,Ford Motor,United States,1.5
#1561,Yasuhiro Fukushima,$1.5 B,70,video games,Japan,1.5
#1561,Reinold Geiger,$1.5 B,70,beauty products,Austria,1.5
#1561,Saad Hariri,$1.5 B,48,"construction, investments",Lebanon,1.5
#1561,Richard Hayne,$1.5 B,70,Urban Outfitters,United States,1.5
#1561,Ilona Herlin,$1.5 B,53,"elevators, escalators",Finland,1.5
#1561,Asok Kumar Hiranandani,$1.5 B,63,real estate,Singapore,1.5
#1561,Niranjan Hiranandani,$1.5 B,68,real estate,India,1.5
#1561,Huang Qiaoling,$1.5 B,59,amusement parks,China,1.5
#1561,Huang Zhuangmian,$1.5 B,48,logistics,China,1.5
#1561,Hal Jackman,$1.5 B,86,"insurance, investments",Canada,1.5
#1561,Anurang Jain,$1.5 B,56,auto parts,India,1.5
#1561,Keeree Kanjanapas,$1.5 B,67,transportation,Thailand,1.5
#1561,Kim Nam-Jung,$1.5 B,45,food,South Korea,1.5
#1561,Seth Klarman,$1.5 B,61,investments,United States,1.5
#1561,Alexander Klyachin,$1.5 B,51,real estate,Russia,1.5
#1561,Yuriy Kosiuk,$1.5 B,50,agriculture,Ukraine,1.5
#1561,Miguel Krigsner,$1.5 B,68,cosmetics,Brazil,1.5
#1561,Lee Yin Yee,$1.5 B,66,glass,China,1.5
#1561,Nicola Leibinger-Kammueller,$1.5 B,58,manufacturing,Germany,1.5
#1561,Li Weiwei,$1.5 B,41,online games,China,1.5
#1561,William Li,$1.5 B,43,automobiles,China,1.5
